Level,CounterBits,MaxValue,TotalCounters,UsedCounters,UsageRate,MaxCounterValue

Memory size: 4KB
0,2,3,162,162,1.0000,3
1,4,15,162,162,1.0000,15
2,8,255,162,162,1.0000,255
3,16,65535,81,81,1.0000,65535
4,20,1048575,39,39,1.0000,1048575

Memory size: 8KB
0,2,3,327,327,1.0000,3
1,4,15,327,327,1.0000,15
2,8,255,327,327,1.0000,255
3,16,65535,162,162,1.0000,65535
4,20,1048575,81,81,1.0000,792587

Memory size: 16KB
0,2,3,654,654,1.0000,3
1,4,15,654,654,1.0000,15
2,8,255,654,654,1.0000,255
3,16,65535,327,327,1.0000,65535
4,20,1048575,162,162,1.0000,394162

Memory size: 64KB
0,2,3,2619,2616,0.9989,3
1,4,15,2619,2619,1.0000,15
2,8,255,2619,2619,1.0000,255
3,16,65535,1308,1308,1.0000,65535
4,20,1048575,654,654,1.0000,99380

Memory size: 128KB
0,2,3,5241,5233,0.9985,3
1,4,15,5241,5241,1.0000,15
2,8,255,5241,5241,1.0000,255
3,16,65535,2619,2619,1.0000,65535
4,20,1048575,1308,1305,0.9977,74220

Memory size: 256KB
0,2,3,10485,10465,0.9981,3
1,4,15,10485,10485,1.0000,15
2,8,255,10485,10485,1.0000,255
3,16,65535,5241,5241,1.0000,65535
4,20,1048575,2619,1054,0.4024,70970

Memory size: 512KB
0,2,3,20970,20878,0.9956,3
1,4,15,20970,20970,1.0000,15
2,8,255,20970,20970,1.0000,255
3,16,65535,10485,10485,1.0000,65535
4,20,1048575,5241,197,0.0376,65302

Memory size: 1024KB
0,2,3,41943,41614,0.9922,3
1,4,15,41943,41942,1.0000,15
2,8,255,41943,41943,1.0000,255
3,16,65535,20970,20970,1.0000,65535
4,20,1048575,10485,33,0.0031,65394

Memory size: 2048KB
0,2,3,83886,82655,0.9853,3
1,4,15,83886,83871,0.9998,15
2,8,255,83886,83886,1.0000,255
3,16,65535,41943,41943,1.0000,64577
4,20,1048575,20970,0,0.0000,0

Memory size: 4096KB
0,2,3,167772,162977,0.9714,3
1,4,15,167772,167562,0.9987,15
2,8,255,167772,167772,1.0000,255
3,16,65535,83886,83839,0.9994,63160
4,20,1048575,41943,0,0.0000,0

Memory size: 8192KB
0,2,3,335544,315976,0.9417,3
1,4,15,335544,332461,0.9908,15
2,8,255,335544,334682,0.9974,255
3,16,65535,167772,139873,0.8337,62990
4,20,1048575,83886,0,0.0000,0

Memory size: 16384KB
0,2,3,671088,590233,0.8795,3
1,4,15,671088,632962,0.9432,15
2,8,255,671088,596823,0.8893,255
3,16,65535,335544,114981,0.3427,62882
4,20,1048575,167772,0,0.0000,0

Memory size: 32768KB
0,2,3,1342176,1019578,0.7596,3
1,4,15,1342176,1041049,0.7756,15
2,8,255,1342176,682770,0.5087,255
3,16,65535,671088,68345,0.1018,62871
4,20,1048575,335544,0,0.0000,0

Memory size: 65536KB
0,2,3,2684352,1562086,0.5819,3
1,4,15,2684352,1347740,0.5021,15
2,8,255,2684352,534793,0.1992,255
3,16,65535,1342176,43619,0.0325,63524
4,20,1048575,671088,0,0.0000,0
