Memory(KB),Run,InfreqTowerARE,InfreqMCMARE,InfreqTowerAAE,InfreqMCMAAE,FreqTowerARE,FreqMCMARE,FreqTowerAAE,FreqMCMAAE
4,0,37539.173732,764687.528084,51478.815929,1048431.917825,4052.419998,82634.696370,51462.591261,1048311.650417
8,0,17465.854802,460634.774511,23949.141755,631583.677763,1887.040947,49777.052763,23938.234827,631617.300646
16,0,8319.234457,201385.926977,11408.280358,276116.516112,899.369776,21766.971699,11406.935395,276182.130438
64,0,1704.321991,27579.027555,2337.035593,37823.228156,184.348273,2983.193860,2343.676320,37862.682235
128,0,496.201687,11541.698724,681.426977,15827.430434,54.981367,1248.904450,733.680383,15846.171451
256,0,126.863322,4940.111690,175.967244,6777.320374,14.813952,535.211742,205.804390,6798.293880
512,0,27.267688,1962.323280,39.967317,2693.537251,4.566681,213.777291,66.336962,2718.334817
1024,0,4.714629,667.430124,7.610490,916.245590,1.281906,73.339167,20.553338,938.517759
2048,0,0.863202,197.067530,1.563118,270.964192,0.344358,21.815677,6.446029,277.746127
4096,0,0.148094,53.684012,0.311644,73.928733,0.085801,5.870652,1.870460,71.897180
8192,0,0.019914,14.005763,0.049496,19.306426,0.018134,1.521302,0.496917,18.801848
16384,0,0.001912,3.715589,0.005640,5.174008,0.003307,0.446352,0.116135,5.661998
32768,0,0.000166,1.020956,0.000556,1.551814,0.000493,0.236620,0.024801,2.841997
65536,0,0.000010,0.486946,0.000035,0.783929,0.000074,0.172189,0.006870,2.040436
